path,contrast_0,dissimilarity_0,homogeneity_0,energy_0,correlation_0,entropy_0,asm_0,contrast_45,dissimilarity_45,homogeneity_45,energy_45,correlation_45,entropy_45,asm_45,contrast_90,dissimilarity_90,homogeneity_90,energy_90,correlation_90,entropy_95,asm_90,contrast_135,dissimilarity_135,homogeneity_135,energy_135,correlation_135,entropy_135,asm_135,labels
jenis_tanah/kurang subur\pasir-001.jpg,404.68599877451004,14.964705882352597,0.15915011570004442,0.00034372824698583474,0.792057442963203,-55118107.943641156,5.244876815579754e-09,583.9848058439036,18.021407151095723,0.13530711311490495,0.00029302342975471093,0.6996040974614336,-55118107.943641156,4.47118270499742e-09,395.9404258578432,14.621001838234934,0.16242497575983134,0.00035532246273969144,0.7965827900011583,-55118107.943641156,5.4217905081129675e-09,756.2502422145344,20.79621683967709,0.12049776074372325,0.0002592854816878316,0.6109990486390803,-55118107.943641156,3.956382472043329e-09,kurang subur
jenis_tanah/kurang subur\pasir-002.jpg,397.7376838235303,14.697242647058527,0.16008500445264132,0.0003816122827232916,0.7685774139865457,-58319387.69509045,5.822941325733819e-09,529.1491580161465,16.981930026912725,0.14105829173211823,0.00033698617380326177,0.6917090766717091,-58319387.69509045,5.142000943042935e-09,344.184895833334,13.483455882352544,0.17291983590487495,0.0004167937352445574,0.7995281156913885,-58319387.69509045,6.359767688668173e-09,680.8398308342963,19.46989619377166,0.12753484695623954,0.0003001909329818878,0.6033335098193271,-58319387.69509045,4.5805501248457e-09,kurang subur
jenis_tanah/kurang subur\pasir-003.jpg,553.7197916666668,17.670833333333256,0.1392892216823753,0.00031678384196432867,0.7242008503175947,-54892667.668667376,4.833737822942027e-09,786.174978854284,21.217193387158837,0.11763538585124562,0.0002731870937759277,0.6080609149016187,-54892667.668667376,4.1685042385242876e-09,535.7317095588242,17.256740196078358,0.14340612239882713,0.0003265979243259804,0.7333705519891941,-54892667.668667376,4.983488835540473e-09,960.5782083813874,23.678677431757166,0.10832855550231796,0.0002508629677078331,0.5211189187143073,-54892667.668667376,3.8278651078465745e-09,kurang subur
jenis_tanah/kurang subur\pasir-004.jpg,366.78609068627276,13.968903186274213,0.1709940339703914,0.0004259647309253052,0.803618543592709,-58675741.59810983,6.499705977253802e-09,529.102222222218,16.81454825067281,0.14621800101581345,0.0003599285224489265,0.7166289344766238,-58675741.59810983,5.492073401625465e-09,348.3879901960779,13.502726715685945,0.17736867469843476,0.00044327503807129473,0.8135189973339312,-58675741.59810983,6.763840302601543e-09,659.4810303729316,19.06666666666668,0.13328619276297574,0.00032223361877939773,0.6467987741762479,-58675741.59810983,4.916894817800869e-09,kurang subur
jenis_tanah/kurang subur\pasir-005.jpg,357.03462009803906,14.044577205881934,0.16298775500134458,0.0003537853201367864,0.7721596508112095,-59134061.017856725,5.398335573376257e-09,530.4390465205663,17.235878508266165,0.1371377468442445,0.0002974328183301576,0.6614215548343525,-59134061.017856725,4.538464635164758e-09,352.53071384803906,13.86499693627415,0.16633302355152413,0.0003612955072117695,0.7753458500486399,-59134061.017856725,5.512931933773339e-09,630.3323952326019,19.026282199154167,0.12647374258028962,0.0002730231962065872,0.5976631748084889,-59134061.017856725,4.166003360085865e-09,kurang subur
jenis_tanah/kurang subur\pasir-006.jpg,383.75929840686285,14.451669730391819,0.1644997460824492,0.00045447877900777346,0.7690837061523396,-58305416.17585318,6.934795822262168e-09,565.75849288735,17.636139946174616,0.13815861623726672,0.00038320067652091935,0.6590373426629184,-58305416.17585318,5.847178291640005e-09,372.39903492647124,14.117478553921247,0.16936185056901618,0.00046861917685655764,0.776097647398478,-58305416.17585318,7.150561170296595e-09,668.1209073433314,19.450426758938914,0.12739962831095802,0.00035104707162433163,0.5973267327129234,-58305416.17585318,5.356553216924006e-09,kurang subur
jenis_tanah/kurang subur\pasir-007.jpg,358.97709865196333,14.076240808823178,0.16239479829995265,0.0003498060673028403,0.7993984933315281,-57085445.184361376,5.3376169937567186e-09,539.0709573241062,17.365459438677483,0.1356793440176629,0.0002914887525145225,0.6985986293535192,-57085445.184361376,4.447765388710365e-09,357.6095435049046,13.970787377450641,0.16389983436933045,0.00035509296492034317,0.8001641336371105,-57085445.184361376,5.4182886492972285e-09,632.9551710880409,19.03876970396009,0.12556895280351038,0.0002685736018782,0.6460553010043748,-57085445.184361376,4.098107938815307e-09,kurang subur
jenis_tanah/kurang subur\pasir-008.jpg,356.00526960784106,14.02221200980364,0.1664069366610913,0.00042011500046556616,0.7833898433436488,-57850732.21515454,6.410446174096163e-09,543.1569242598987,17.419561707035793,0.1375392691481784,0.00034826637079962594,0.6690603738475744,-57850732.21515454,5.314123089593902e-09,357.9263939951003,13.917907475489907,0.16813511104103537,0.0004272993616487649,0.7822705553762873,-57850732.21515454,6.5200708259394055e-09,628.1977085736235,18.966674356016846,0.12866143825648949,0.0003227754504263805,0.6172351840292136,-57850732.21515454,4.925162512609566e-09,kurang subur
jenis_tanah/kurang subur\pasir-009.jpg,373.30310968137314,14.251393995097688,0.16657984434118145,0.00040029652620086025,0.7916353820324513,-57719247.9649419,6.108040255750431e-09,698.4006612841175,19.81442522106874,0.12594395622179802,0.0003021199813575384,0.609777583998621,-57719247.9649419,4.609985067101111e-09,366.89836090686305,13.939721200980053,0.17016943549379598,0.0004154887890549909,0.7952423196675868,-57719247.9649419,6.3398557900236645e-09,539.4354325259465,17.173102652825865,0.1411075607106413,0.00034069787431297314,0.6985925625516671,-57719247.9649419,5.198636998183794e-09,kurang subur
jenis_tanah/kurang subur\pasir-010.jpg,373.2558057598061,14.25050551470558,0.1668429432120023,0.00040126825469771245,0.7916992611268168,-57713849.0421113,6.122867655909919e-09,698.4787850826636,19.810488273740788,0.1261571893247396,0.0003022958224005466,0.6097993441272465,-57713849.0421113,4.612668188484903e-09,366.74420955882516,13.934160539215373,0.17101617161584898,0.00041545734456849525,0.795359628409515,-57713849.0421113,6.339375985237049e-09,539.1392848904276,17.164413687043407,0.14195712352495363,0.0003417585966773197,0.698808322378171,-57713849.0421113,5.214822336995235e-09,kurang subur
